# Hayabusa2 data processed
#=================================================================================================================================================================================================
# |------ Spacecraft ------| |------ Earth ------| |------ 1999JU3 ------|
# UTC L+ X Y Z X Y Z X Y Z Rs Re Ra Vs Ve alpha delta Dflt
# [day] [au] [au] [au] [au] [au] [au] [au] [au] [au] [10^4km] [10^4km] [10^4km] [km/s] [km/s] [deg] [deg] [10^4km]
#--------1---------------2--------3---------4---------5---------6---------7---------8---------9---------10--------11--------12---------13---------14-------15-------16-------17-------18-----19----
2015/03/17.05:00:00 104.0 -1.037012 0.305619 -0.128888 -0.992563 0.068166 -0.000002 0.461525 -1.333508 0.088485 16287.7 4096.1 33382.8 27.25 6.47 99.38 -4.99 25470.0
2015/03/18.05:00:00 105.0 -1.041408 0.290507 -0.128790 -0.993877 0.050922 -0.000001 0.473641 -1.328818 0.089517 16288.4 4130.8 33334.6 27.25 6.51 99.95 -4.75 25705.4
2015/03/19.05:00:00 106.0 -1.045564 0.275328 -0.128663 -0.994891 0.033662 0.000001 0.485708 -1.323989 0.090540 16288.8 4165.3 33285.6 27.25 6.55 100.52 -4.51 25940.8
2015/03/20.05:00:00 107.0 -1.049480 0.260087 -0.128508 -0.995605 0.016391 0.000002 0.497723 -1.319021 0.091554 16288.8 4199.6 33235.8 27.25 6.59 101.10 -4.28 26176.3
2015/03/21.05:00:00 108.0 -1.053155 0.244788 -0.128323 -0.996019 -0.000886 0.000003 0.509687 -1.313914 0.092558 16288.5 4233.6 33185.2 27.25 6.63 101.68 -4.06 26411.7
2015/03/22.05:00:00 109.0 -1.056589 0.229432 -0.128110 -0.996132 -0.018161 0.000004 0.521596 -1.308670 0.093552 16287.8 4267.4 33133.7 27.25 6.67 102.26 -3.83 26647.1
2015/03/23.05:00:00 110.0 -1.059780 0.214025 -0.127868 -0.995946 -0.035430 0.000006 0.533452 -1.303288 0.094536 16286.9 4300.9 33081.4 27.25 6.71 102.85 -3.61 26882.5
2015/03/24.05:00:00 111.0 -1.062727 0.198569 -0.127597 -0.995461 -0.052688 0.000007 0.545250 -1.297769 0.095511 16285.6 4334.1 33028.3 27.25 6.75 103.45 -3.39 27117.9
2015/03/25.05:00:00 112.0 -1.065431 0.183068 -0.127298 -0.994677 -0.069928 0.000008 0.556992 -1.292113 0.096475 16283.9 4367.1 32974.3 27.25 6.79 104.05 -3.17 27353.3
2015/03/26.05:00:00 113.0 -1.067890 0.167525 -0.126969 -0.993596 -0.087146 0.000009 0.568675 -1.286320 0.097429 16282.0 4399.8 32919.6 27.25 6.82 104.65 -2.96 27588.8
